"date","source","leads_generated"
"2024-05-18",Facebook,3
"2024-01-30",Toll Free,179
"2024-05-10",Chatbot,4
"2024-01-15",Website,101
"2024-09-09",Motory,57
"2024-03-29",Instagram,1
"2024-06-28",Facebook,2
"2024-10-13",Toll Free,70
"2024-08-19",Twitter,53
"2024-08-23",Motory,44
"2024-08-11",Motory,80
"2024-08-19",Online Sales,1531
"2024-07-08",Toll Free,103
"2024-08-27",Motory Campaign,7
"2024-12-25",Toyota Offer,2
"2024-12-09",Social Media - Campaign,146
"2024-10-28",Twitter,16
"2024-11-01",Website,73
"2024-09-22",Twitter,13
"2024-12-11",Toll Free,45
"2024-11-15",Chatbot,1
"2024-08-22",Test Drive,29
"2024-01-05",Twitter,8
"2024-11-06",Motory Campaign,49
"2024-10-19",Mobile Applications-TSS,2
"2024-01-18",Toll Free,107
"2024-12-12",Motory Campaign,42
"2024-11-25",Motory,56
"2024-03-19",Online Sales,517
"2024-11-05",Twitter,5
"2024-01-25",Toyota Offer,35
"2024-01-12",Motory,94
"2024-08-10",Social Media - Campaign,69
"2024-05-12",Toll Free,132
